Comment,Designator,Footprint,LCSC
100nF,"C1,C2",C_0402_1005Metric,C1525
100K,R1,R_0402_1005Metric,C25741
10K,"R2,R3,R4",R_0402_1005Metric,C25744
Crystal,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
Micro_SD_TF_PUSH,J7,TF-Push,C393941
SN74HC74N,U1,SOIC-14_3.9x8.7mm_P1.27mm,C6762
Coin_Cell,BT1,CR2032_Holder,C964777
PCF8523T,U2,SOIC-8_3.9x4.9mm_P1.27mm,
